,inverted_log_rank_p1,rank_diff_binned,log_odd_ratio,surface_Clay,surface_Hard,surface_Grass,h2h_binned,consecutive_wins_p1,consecutive_wins_p2,consecutive_losses_p1,consecutive_losses_p2,consecutive_results,rank_evol_p1_binned,rank_evol_p2_binned,rank_combined_binned,odd_p1,odd_p2
15212,0.9102392266268373,9,2.4523304793533875,0,1,0,0,0.5,1,1,0.0,0,0,0,9,1.04,10.0
8639,0.3898712452512801,7,1.233469765560689,0,1,0,1,0.5,1,0,0.0,0,0,1,7,1.57,2.25
22352,0.43429448190325176,4,1.842190322854947,0,1,0,0,0.5,1,0,0.0,0,1,0,5,1.16,5.0
29184,0.2442393366759723,7,1.183278213083103,1,0,0,0,0.5,1,0,0.0,0,0,1,6,1.66,2.1
38015,0.17079209500535783,13,1.3773256911371303,0,1,0,0,0.5,1,1,0.0,0,0,0,13,1.4,2.75
32488,0.23782951347935782,4,1.0986122886681098,1,0,0,0,0.5,1,1,1.0,1,0,0,4,1.83,1.83
33680,0.36926937306885504,13,2.8071777398219884,0,1,0,1,1.0,1,1,1.0,1,1,1,13,1.03,15.0
12163,0.25694917118487537,13,1.4914668891843443,0,1,0,0,1.0,1,1,0.0,1,1,0,13,1.33,3.25
33278,0.5138983423697507,8,2.6741486494265287,0,1,0,0,0.5,1,1,1.0,1,0,0,9,1.04,13.0
24802,0.267546386419054,13,1.7714394667370974,1,0,0,0,0.5,1,1,0.0,1,0,0,13,1.16,4.5
18851,0.23233849357411737,3,1.3401049786505161,0,1,0,1,0.5,1,0,0.0,0,1,1,0,1.44,2.62
4502,0.3001016285004131,8,1.6094379124341003,1,0,0,1,0.5,1,1,0.0,1,0,0,8,1.25,3.75
19473,0.40242960438184466,4,1.3401049786505161,0,0,1,0,0.5,1,1,0.0,1,0,0,4,1.44,2.62
26313,0.48089834696298783,12,2.8071777398219884,0,1,0,0,0.5,1,1,0.0,0,1,0,12,1.03,15.0
16429,0.7213475204444817,4,1.6486586255873816,0,0,1,1,1.0,1,1,0.0,1,0,0,4,1.25,4.0
20362,0.2162174871877535,5,1.2138616364551833,1,0,0,0,1.0,1,1,0.0,1,0,0,5,1.61,2.2
34849,0.265872585674852,8,1.4914668891843443,1,0,0,0,0.5,1,0,0.0,0,0,1,7,1.33,3.25
7563,0.30341307554227914,5,1.0986122886681098,0,0,1,0,0.5,1,1,1.0,1,0,1,4,1.83,1.83
4246,0.269282508064391,8,1.3773256911371303,0,1,0,0,0.5,1,0,0.0,0,0,1,7,1.4,2.75
15393,0.2790553132756236,9,1.4364841056437456,0,1,0,0,0.5,1,1,0.5,1,0,1,8,1.36,3.0
29384,0.2530848692773169,11,1.4364841056437456,0,1,0,0,0.5,1,1,0.0,0,0,0,11,1.36,3.0
2012,0.23955611574701857,11,1.2126041772712242,1,0,0,0,0.5,1,1,0.5,1,0,0,12,1.615,2.2
2363,0.2835784920513334,10,1.339691899136912,0,0,1,1,1.0,1,1,0.0,1,0,0,10,1.444,2.625
18487,0.40242960438184466,2,1.406025942982486,0,1,0,1,0.5,1,1,0.0,1,0,0,2,1.38,2.87
13069,0.29120667621996243,5,2.3581549441488563,1,0,0,0,0.5,1,1,0.0,1,0,0,5,1.05,9.0
36564,0.17874023021919808,0,1.2666713985415,0,1,0,0,0.5,1,1,0.5,1,1,0,0,1.53,2.37
19284,0.4170323914242463,3,1.7714394667370974,0,1,0,1,1.0,1,1,0.0,1,0,0,3,1.16,4.5
19237,0.31465798044412485,12,2.0022101937438457,0,1,0,0,0.5,1,1,0.0,1,0,0,12,1.11,6.0
3362,0.21113980144539465,13,1.233204014336522,0,1,0,0,0.5,1,1,1.0,1,0,0,13,1.571,2.25
24166,0.36926937306885504,3,1.233469765560689,0,1,0,0,0.5,0,1,0.0,0,0,0,3,1.57,2.25
19599,0.23617733727628992,6,1.6636776813710972,1,0,0,0,0.5,1,1,1.0,1,1,1,6,1.22,4.0
15468,0.2969742043733701,6,1.9330730022946325,0,1,0,0,1.0,1,1,0.0,1,0,0,6,1.12,5.5
33736,0.5138983423697507,12,1.9205280757838963,0,1,0,1,1.0,1,1,0.0,1,0,0,12,1.14,5.5
11015,0.24325728130826463,2,1.4914668891843443,1,0,0,1,0.5,1,1,1.0,1,0,1,2,1.33,3.25
